id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
38508179,2020-02-10 11:32:26 AM EST,2020-02-10,2020-02-10 16:32:26 UTC,Eastern Time (US & Canada),1883226,redmanfurey,Nancy L Redman-Furey,2020-02-10 16:48:17 UTC,2020-02-19 13:28:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38508179,https://inaturalist-open-data.s3.amazonaws.com/photos/61211487/medium.jpeg,,"",,0,0,false,2,"Conway, SC 29526, USA",33.78471976,-79.03736114,7,,,,7,,,false,,,,Horry,South Carolina,United States,South Carolina,Horry,river cane,Arundinaria gigantea,river cane,Plantae,121747
38517340,2020-02-09 12:17:59 PM CST,2020-02-09,2020-02-09 22:17:59 UTC,Hawaii,1245911,margaretvincent-ul,Margaret Vincent,2020-02-10 21:39:30 UTC,2020-02-10 23:19:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38517340,https://inaturalist-open-data.s3.amazonaws.com/photos/61227075/medium.jpeg,,"",,0,0,false,2,"Woodworth, LA 71485, USA",31.2062473297,-92.6170120239,,,,,,,,false,gps,gps,,,Louisiana,United States,Louisiana,Rapides,river cane,Arundinaria gigantea,river cane,Plantae,121747
38517400,2020-02-09 12:19:39 PM CST,2020-02-09,2020-02-09 22:19:39 UTC,Hawaii,1245911,margaretvincent-ul,Margaret Vincent,2020-02-10 21:42:16 UTC,2020-02-11 21:30:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38517400,https://inaturalist-open-data.s3.amazonaws.com/photos/61227226/medium.jpeg,,"",,0,0,false,2,"Woodworth, LA 71485, USA",31.2063121796,-92.617149353,,,,,,,,false,gps,gps,,,Louisiana,United States,Louisiana,Rapides,river cane,Arundinaria gigantea,river cane,Plantae,121747
38601762,Sun Feb 09 2020 13:28:39 GMT-0400 (GMT-4),2020-02-09,2020-02-09 17:28:39 UTC,Atlantic Time (Canada),2381056,goatnotes,Jonathan Tales,2020-02-13 12:26:05 UTC,2020-02-13 13:42:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38601762,https://inaturalist-open-data.s3.amazonaws.com/photos/61372073/medium.jpg,,"",,0,0,false,3,"Kings Mountain State Park, Clover, SC, US",35.1481583333,-81.34503,,,,,,,,false,,,,York,South Carolina,United States,South Carolina,York,river cane,Arundinaria gigantea,river cane,Plantae,121747
38603574,Thu Feb 13 2020 09:02:31 GMT-0500 (EST),2020-02-13,2020-02-13 14:02:31 UTC,Eastern Time (US & Canada),2528542,shelleybaker,Shelley Baker,2020-02-13 14:02:51 UTC,2020-02-26 16:41:56 UTC,research,,https://www.inaturalist.org/observations/38603574,https://static.inaturalist.org/photos/61375037/medium.jpg,,"",,0,0,false,3,"Regency Oaks Dr, Myrtle Beach, SC, US",33.7645580861,-78.8653667754,6,,,,6,,,false,,,,Horry,South Carolina,United States,South Carolina,Horry,river cane,Arundinaria gigantea,river cane,Plantae,121747
38605807,2020-02-13 10:35:41 AM EST,2020-02-13,2020-02-13 15:35:41 UTC,Eastern Time (US & Canada),2583022,jacobplummer,Jacob Plummer,2020-02-13 15:36:28 UTC,2020-02-14 19:58:14 UTC,research,,https://www.inaturalist.org/observations/38605807,https://static.inaturalist.org/photos/61379368/medium.jpeg,,"",,0,0,false,2,"Carolina Forest, SC 29579, USA",33.76579205,-78.86652945,9,,,,9,,,false,,,,Horry,South Carolina,United States,South Carolina,Horry,river cane,Arundinaria gigantea,river cane,Plantae,121747
38648372,Fri Feb 14 2020 15:01:05 GMT-0500 (EST),2020-02-14,2020-02-14 20:01:05 UTC,Eastern Time (US & Canada),1209598,marthawilli,"",2020-02-14 21:53:16 UTC,2020-02-15 01:04:31 UTC,research,,https://www.inaturalist.org/observations/38648372,https://static.inaturalist.org/photos/61455810/medium.jpg,,"",,0,0,false,3,"Cairo, GA, US",30.89065333,-84.28903333,30,,,,30,,,false,,,,Grady,Georgia,United States,Georgia,Grady,river cane,Arundinaria gigantea,river cane,Plantae,121747
38655347,2020/02/07 3:05 PM CST,2020-02-07,2020-02-07 21:05:00 UTC,Central Time (US & Canada),845858,bjkauffman,Bette J Kauffman,2020-02-15 01:59:10 UTC,2023-02-10 03:36:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38655347,https://static.inaturalist.org/photos/61467499/medium.jpg,,"",,1,0,false,,"ULM Biological Station, Caldwell Parish, LA, USA",32.0791233333,-92.060945,,,,,,,,false,,,,,Louisiana,United States,Louisiana,Caldwell,river cane,Arundinaria gigantea,river cane,Plantae,121747
38655522,Fri Feb 14 2020 16:33:27 GMT-0500 (EST),2020-02-14,2020-02-14 21:33:27 UTC,Eastern Time (US & Canada),783729,sharonoutside,Sharon Watson,2020-02-15 02:07:06 UTC,2020-02-19 12:33:41 UTC,research,,https://www.inaturalist.org/observations/38655522,https://static.inaturalist.org/photos/61467858/medium.jpg,,"",,0,0,false,3,"Ivanhoe Rd, Walterboro, SC, US",32.895755,-80.686845,5,,,,5,,,false,,,,Colleton,South Carolina,United States,South Carolina,Colleton,river cane,Arundinaria gigantea,river cane,Plantae,121747
38670659,Sat Feb 15 2020 09:33:55 GMT-0600 (CST),2020-02-15,2020-02-15 09:33:55 UTC,UTC,2586603,tylerlarkan,,2020-02-15 15:48:04 UTC,2020-02-16 00:11:46 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38670659,https://inaturalist-open-data.s3.amazonaws.com/photos/61494470/medium.jpg,,"",,1,0,false,3,"Pinnacle Mountain State Park, Roland, AR, US",34.8376416663,-92.4956598446,8,,,,8,,,false,,,,Pulaski,Arkansas,United States,Arkansas,Pulaski,river cane,Arundinaria gigantea,river cane,Plantae,121747
38730402,2020-02-16 6:21:10 PM EST,2020-02-16,2020-02-16 23:21:10 UTC,Eastern Time (US & Canada),1463399,ivansegovia,Ivan Segovia,2020-02-16 23:23:01 UTC,2020-02-17 00:59:54 UTC,research,,https://www.inaturalist.org/observations/38730402,https://static.inaturalist.org/photos/61600800/medium.jpeg,,"",,0,0,false,2,"Atlanta, GA 30316, USA",33.68229328,-84.33790386,4,,,,4,,,false,,,,DeKalb,Georgia,United States,Georgia,DeKalb,river cane,Arundinaria gigantea,river cane,Plantae,121747
38742415,2020/02/16,2020-02-16,,Central Time (US & Canada),1065815,jrichardabbott,J. Richard Abbott,2020-02-17 05:04:53 UTC,2020-02-17 13:01:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38742415,https://inaturalist-open-data.s3.amazonaws.com/photos/61620356/medium.jpeg,,"","on the Delta View Trail, a little SW of where the Cane Creek Lake Trail diverges to the NW",0,0,false,,"Cane Creek State Park, Lincoln County, AR, USA",33.9231245608,-91.7801522813,94,,,,94,,,false,,,,Lincoln,Arkansas,United States,Arkansas,Lincoln,river cane,Arundinaria gigantea,river cane,Plantae,121747
38769365,Mon Feb 17 2020 11:02:22 GMT-0600 (CST),2020-02-17,2020-02-17 21:02:22 UTC,Hawaii,521220,drbh2o,Matt,2020-02-17 21:44:13 UTC,2023-07-07 18:16:07 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38769365,https://inaturalist-open-data.s3.amazonaws.com/photos/61669495/medium.jpg,,"",,0,0,false,3,"The Club at Carlton Woods, Spring, TX, US",30.15930833,-95.52456667,5,,,,5,,,false,,,"The Woodlands Township, Texas",Harris,Texas,United States,Texas,Harris,river cane,Arundinaria gigantea,river cane,Plantae,121747
38771853,Mon Feb 17 2020 16:33:57 GMT-0600 (CST),2020-02-17,2020-02-18 00:33:57 UTC,Pacific Time (US & Canada),952,kurtongman,"",2020-02-17 22:35:19 UTC,2023-05-31 00:29:55 UTC,research,,https://www.inaturalist.org/observations/38771853,https://static.inaturalist.org/photos/64560320/medium.jpg,,"",,1,0,false,3,"70 Arlene Laman Dr, North Little Rock, AR, US",34.797955,-92.32126667,,,,,,,,false,,,,Pulaski,Arkansas,United States,Arkansas,Pulaski,river cane,Arundinaria gigantea,river cane,Plantae,121747
38775154,Mon Feb 17 2020 15:50:56 GMT-0600 (CST),2020-02-17,2020-02-17 20:50:56 UTC,Eastern Time (US & Canada),15723,reallifeecology,Jonathan (JC) Carpenter,2020-02-17 23:49:35 UTC,2020-02-20 20:50:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38775154,https://inaturalist-open-data.s3.amazonaws.com/photos/61679213/medium.jpg,,"",,2,0,false,3,"Lincoln County, US-LA, US",32.5411677081,-92.6443487965,10,,,,10,,,false,,,,,Louisiana,United States,Louisiana,Lincoln,river cane,Arundinaria gigantea,river cane,Plantae,121747
38779889,Mon Feb 17 2020 10:08:33 GMT-0600 (CST),2020-02-17,2020-02-17 10:08:33 UTC,UTC,2337376,avdukes,,2020-02-18 01:57:31 UTC,2021-02-24 00:48:44 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38779889,https://inaturalist-open-data.s3.amazonaws.com/photos/61687402/medium.jpg,,"",,1,0,false,3,"Lexington, MS, US",33.05062783,-90.188225,5,,,,5,,,false,,,,Holmes,Mississippi,United States,Mississippi,Holmes,river cane,Arundinaria gigantea,river cane,Plantae,121747
38792608,2020/02/17 12:17 PM CST,2020-02-17,2020-02-17 18:17:00 UTC,Central Time (US & Canada),2094499,jim_keesling,"",2020-02-18 12:18:20 UTC,2022-12-05 20:00:44 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38792608,https://inaturalist-open-data.s3.amazonaws.com/photos/61709407/medium.jpeg,,"","Leaves green, persisting through the winter months; culms mostly 3-7 feet tall; topknot blades to 25 cm long by 3.5 cm across; rhizomes with air canals.",3,0,false,,"Lincoln County, AR, USA",33.91839,-91.77548,10,,,,10,,,false,,,,Lincoln,Arkansas,United States,Arkansas,Lincoln,river cane,Arundinaria gigantea,river cane,Plantae,121747
38808180,Tue Feb 18 2020 15:16:36 GMT-0500 (EST),2020-02-18,2020-02-18 20:16:36 UTC,Eastern Time (US & Canada),762185,nealkelso,Neal Kelso,2020-02-18 21:03:12 UTC,2020-05-07 22:57:08 UTC,research,CC-BY,https://www.inaturalist.org/observations/38808180,https://inaturalist-open-data.s3.amazonaws.com/photos/61734570/medium.jpg,,"",,0,0,false,3,"Swarthmore College, Swarthmore, PA, US",39.898695,-75.35523333,17,,,,17,,,false,,,,Delaware,Pennsylvania,United States,Pennsylvania,Delaware,river cane,Arundinaria gigantea,river cane,Plantae,121747
38836602,Mon Feb 17 2020 13:23:45 GMT-0600 (CST),2020-02-17,2020-02-17 21:23:45 UTC,Pacific Time (US & Canada),39264,dcoopercem,Daniel S. Cooper,2020-02-19 16:06:04 UTC,2020-02-20 15:51:32 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38836602,https://inaturalist-open-data.s3.amazonaws.com/photos/61777241/medium.jpg,,"",,0,0,false,3,"Bayou Teche, Breaux Bridge, LA, US",30.2747631314,-91.8971257253,96,,,,96,,,false,,,,,Louisiana,United States,Louisiana,St. Martin,river cane,Arundinaria gigantea,river cane,Plantae,121747
38851754,2020-02-19 2:18:16 PM CST,2020-02-19,2020-02-20 00:18:16 UTC,Hawaii,849233,nativeplantsmatter,Rob John,2020-02-19 20:18:35 UTC,2020-02-20 23:41:11 UTC,research,CC-BY,https://www.inaturalist.org/observations/38851754,https://inaturalist-open-data.s3.amazonaws.com/photos/61792006/medium.jpeg,,"",,0,0,false,2,"Auburn, AL, USA",32.66108296,-85.48269305,8,,,,8,,,false,,,,Lee,Alabama,United States,Alabama,Lee,river cane,Arundinaria gigantea,river cane,Plantae,121747
38920858,2020-02-20 2:41:40 PM CST,2020-02-20,2020-02-21 00:41:40 UTC,Hawaii,978675,matt_sieja,Matt Sieja,2020-02-20 21:30:18 UTC,2020-03-05 13:03:25 UTC,research,,https://www.inaturalist.org/observations/38920858,https://static.inaturalist.org/photos/61854804/medium.jpeg,,"",,1,0,false,2,"Hunter, AR, USA",35.0052896751,-91.2082852051,9,,,,9,,,false,gps,gps,,Woodruff,Arkansas,United States,Arkansas,Woodruff,river cane,Arundinaria gigantea,river cane,Plantae,121747
38943438,2020/02/20 4:47 PM CST,2020-02-20,2020-02-20 22:47:00 UTC,Central Time (US & Canada),1136570,sedgehead,Philip E. Hyatt,2020-02-21 01:29:39 UTC,2020-03-04 15:36:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38943438,https://inaturalist-open-data.s3.amazonaws.com/photos/61867353/medium.jpg,,"",Common along streams and drainage.,0,0,false,,"Baxter County, AR, USA",36.4107610197,-92.36386584,,,,,,,,false,,,,Baxter,Arkansas,United States,Arkansas,Baxter,river cane,Arundinaria gigantea,river cane,Plantae,121747
39026848,2020-02-21 3:03:10 PM CST,2020-02-21,2020-02-21 21:03:10 UTC,Central Time (US & Canada),744712,adiamond,Alvin Diamond,2020-02-22 00:00:36 UTC,2020-09-16 18:08:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/39026848,https://inaturalist-open-data.s3.amazonaws.com/photos/61922126/medium.jpeg,,"",,3,0,false,2,"Montgomery, AL 36108, USA",32.3635025024,-86.4585876465,,,,,,,,false,gps,gps,,Montgomery,Alabama,United States,Alabama,Montgomery,river cane,Arundinaria gigantea,river cane,Plantae,121747
39092029,Sat Feb 22 2020 14:28:41 GMT-0600 (CST),2020-02-22,2020-02-22 14:28:41 UTC,UTC,2581782,lcrue,,2020-02-23 16:02:29 UTC,2020-04-13 18:51:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/39092029,https://inaturalist-open-data.s3.amazonaws.com/photos/62026146/medium.jpg,,"",Cane next to the riverbank keeping the bank up,1,0,false,3,"Johnson County, US-AR, US",35.6848673032,-93.2397800708,14,,,,14,,,false,,,,Johnson,Arkansas,United States,Arkansas,Johnson,river cane,Arundinaria gigantea,river cane,Plantae,121747
39092035,Sat Feb 22 2020 14:33:43 GMT-0600 (CST),2020-02-22,2020-02-22 14:33:43 UTC,UTC,2581782,lcrue,,2020-02-23 16:02:45 UTC,2020-04-13 18:51:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/39092035,https://inaturalist-open-data.s3.amazonaws.com/photos/62026245/medium.jpg,,"",Rhisome growing linerally,1,0,false,3,"Johnson County, US-AR, US",35.685286205,-93.2397738974,10,,,,10,,,false,,,,Johnson,Arkansas,United States,Arkansas,Johnson,river cane,Arundinaria gigantea,river cane,Plantae,121747
39092064,Sat Feb 22 2020 14:39:16 GMT-0600 (CST),2020-02-22,2020-02-22 14:39:16 UTC,UTC,2581782,lcrue,,2020-02-23 16:03:48 UTC,2020-04-13 18:51:32 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/39092064,https://inaturalist-open-data.s3.amazonaws.com/photos/62026274/medium.jpg,,"",Good specimen for a blow gun,1,0,false,3,"Johnson County, US-AR, US",35.6854579816,-93.2396939343,11,,,,11,,,false,,,,Johnson,Arkansas,United States,Arkansas,Johnson,river cane,Arundinaria gigantea,river cane,Plantae,121747
39123264,Sat Feb 22 2020 16:03:17 GMT-0600 (CST),2020-02-22,2020-02-22 16:03:17 UTC,UTC,1670213,kleboeuf517,,2020-02-24 00:02:10 UTC,2020-03-03 22:06:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/39123264,https://inaturalist-open-data.s3.amazonaws.com/photos/62239111/medium.jpg,,"",,0,0,false,3,"Portman Terry Rd, Conroe, TX, US",30.212628317,-95.2647162669,47,,,,47,,,false,,,,Montgomery,Texas,United States,Texas,Montgomery,river cane,Arundinaria gigantea,river cane,Plantae,121747
39125985,Sun Feb 23 2020 14:53:13 GMT-0600 (CST),2020-02-23,2020-02-23 20:53:13 UTC,Central Time (US & Canada),49118,lauramorganclark,Laura Clark,2020-02-24 01:16:16 UTC,2020-02-24 19:12:52 UTC,research,CC-BY,https://www.inaturalist.org/observations/39125985,https://inaturalist-open-data.s3.amazonaws.com/photos/62066529/medium.jpg,,"",,1,0,false,3,"Sabine National Forest, Pineland, TX, US",31.23466333,-93.92821333,10,,,,10,,,false,,,,Sabine,Texas,United States,Texas,Sabine,river cane,Arundinaria gigantea,river cane,Plantae,121747
39132294,2020/02/23 4:26 PM CST,2020-02-23,2020-02-23 22:26:00 UTC,Central Time (US & Canada),1494485,alecc,Alec Cowles,2020-02-24 04:37:16 UTC,2021-11-11 01:56:43 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/39132294,https://inaturalist-open-data.s3.amazonaws.com/photos/62077866/medium.jpeg,,"","",1,0,false,,"East Baton Rouge, Louisiana, United States",30.535825,-91.121855,5,,,,5,,,false,,,,,Louisiana,United States,Louisiana,East Baton Rouge,river cane,Arundinaria gigantea,river cane,Plantae,121747
39185956,2020-02-24 11:47:35 AM CST,2020-02-24,2020-02-24 11:47:35 UTC,UTC,1026476,emilybunse,Emily Bunse,2020-02-24 23:57:20 UTC,2020-02-25 00:47:31 UTC,research,,https://www.inaturalist.org/observations/39185956,https://static.inaturalist.org/photos/62134046/medium.jpeg,,"",,0,0,false,2,"Pope County, US-IL, US",37.51801387,-88.43568283,8,,,,8,,open,false,,,,Pope,Illinois,United States,Illinois,Pope,river cane,Arundinaria gigantea,river cane,Plantae,121747
39227082,2020-02-25 1:27:31 PM EST,2020-02-25,2020-02-25 18:27:31 UTC,Eastern Time (US & Canada),2053253,kwilkie,"",2020-02-26 01:17:29 UTC,2020-02-26 01:48:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/39227082,https://inaturalist-open-data.s3.amazonaws.com/photos/62207055/medium.jpeg,,"",,0,0,false,2,"College Of Law, Lexington, KY 40508, USA",38.0359993889,-84.5077927778,,,,,,,,false,gps,gps,,Fayette,Kentucky,United States,Kentucky,Fayette,river cane,Arundinaria gigantea,river cane,Plantae,121747
39243448,Sat Feb 22 2020 16:14:57 GMT-0600 (CST),2020-02-22,2020-02-22 16:14:57 UTC,UTC,1670213,kleboeuf517,,2020-02-26 15:43:33 UTC,2020-03-02 21:29:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/39243448,https://inaturalist-open-data.s3.amazonaws.com/photos/62235343/medium.jpg,,"",,0,0,false,3,"Blanks Rd, Conroe, TX, US",30.209449237,-95.2645191893,81,,,,81,,,false,,,,Montgomery,Texas,United States,Texas,Montgomery,river cane,Arundinaria gigantea,river cane,Plantae,121747
39279980,2020-02-15 12:48:22 PM EST,2020-02-15,2020-02-15 17:48:22 UTC,Eastern Time (US & Canada),559343,briggsarmstrong,Briggs Armstrong,2020-02-27 15:38:03 UTC,2020-03-10 22:39:10 UTC,research,CC-BY,https://www.inaturalist.org/observations/39279980,https://inaturalist-open-data.s3.amazonaws.com/photos/62299646/medium.jpeg,,"",,0,0,false,2,"Alpharetta, GA 30005, USA",34.1171300278,-84.1942736111,,,,,,,,false,gps,gps,,Forsyth,Georgia,United States,Georgia,Forsyth,river cane,Arundinaria gigantea,river cane,Plantae,121747
39292260,Wed Feb 26 2020 17:16:24 GMT-0600 (CST),2020-02-26,2020-02-26 22:16:24 UTC,Eastern Time (US & Canada),15723,reallifeecology,Jonathan (JC) Carpenter,2020-02-27 21:26:34 UTC,2020-02-27 22:49:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/39292260,https://inaturalist-open-data.s3.amazonaws.com/photos/62320358/medium.jpg,,"",,1,0,false,3,"Lincoln County, US-LA, US",32.5168019347,-92.6674799156,10,,,,10,,,false,,,,,Louisiana,United States,Louisiana,Lincoln,river cane,Arundinaria gigantea,river cane,Plantae,121747
39319511,2020-02-28 12:06:21 PM EST,2020-02-28,2020-02-28 17:06:21 UTC,Eastern Time (US & Canada),1506782,carlingkirk,Carling Kirk,2020-02-28 17:06:51 UTC,2020-02-29 23:31:41 UTC,research,,https://www.inaturalist.org/observations/39319511,https://static.inaturalist.org/photos/62364307/medium.jpeg,,"",,1,0,false,2,"Morrow, GA 30260, USA",33.60079825,-84.34678725,15,,,,15,,,false,,,,Clayton,Georgia,United States,Georgia,Clayton,river cane,Arundinaria gigantea,river cane,Plantae,121747
39361604,Sat Feb 29 2020 11:53:05 GMT-0600 (CST),2020-02-29,2020-02-29 11:53:05 UTC,UTC,2598851,jordanhurst1,Jordan Hurst,2020-02-29 18:17:38 UTC,2021-03-10 13:45:38 UTC,research,,https://www.inaturalist.org/observations/39361604,https://static.inaturalist.org/photos/62507914/medium.jpg,,"",,1,0,false,3,"Chouteau, OK, US",36.1523220918,-95.3061754102,4,,,,4,,,false,,,,Mayes,Oklahoma,United States,Oklahoma,Mayes,river cane,Arundinaria gigantea,river cane,Plantae,121747
39366524,Sat Feb 29 2020 12:14:58 GMT-0500 (EST),2020-02-29,2020-02-29 17:14:58 UTC,Eastern Time (US & Canada),2404803,esummerbell,Emily Summerbell,2020-02-29 19:54:27 UTC,2021-05-13 18:29:39 UTC,research,CC-BY,https://www.inaturalist.org/observations/39366524,https://inaturalist-open-data.s3.amazonaws.com/photos/62444796/medium.jpg,,"",,0,0,false,3,"Zonolite Park, Atlanta, GA, US",33.8052140689,-84.3441832625,5,,,,5,,,false,,,,DeKalb,Georgia,United States,Georgia,DeKalb,river cane,Arundinaria gigantea,river cane,Plantae,121747
39368596,Sun Feb 23 2020 15:59:06 GMT-0600 (CST),2020-02-23,2020-02-23 15:59:06 UTC,UTC,1019332,dunawayb96,Brady S. Dunaway,2020-02-29 20:38:00 UTC,2023-07-26 16:27:43 UTC,research,,https://www.inaturalist.org/observations/39368596,https://static.inaturalist.org/photos/62448147/medium.jpg,,"",,1,0,false,3,"Dumbarton Rd, Starkville, MS, US",33.46305,-88.75022167,5,,,,5,,,false,,,,Oktibbeha,Mississippi,United States,Mississippi,Oktibbeha,river cane,Arundinaria gigantea,river cane,Plantae,121747
39371170,Sat Feb 29 2020 12:29:45 GMT-0600 (CST),2020-02-29,2020-02-29 18:29:45 UTC,Central Time (US & Canada),691439,jimdaniels,"",2020-02-29 21:34:43 UTC,2020-03-02 03:28:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/39371170,https://inaturalist-open-data.s3.amazonaws.com/photos/62452336/medium.jpg,,"",,0,0,false,3,"Tuskegee National Forest, Tuskegee, AL, US",32.451395,-85.65783,5,,,,5,,,false,,,,Macon,Alabama,United States,Alabama,Macon,river cane,Arundinaria gigantea,river cane,Plantae,121747
39375678,2020/02/29 2:17 PM CST,2020-02-29,2020-02-29 20:17:00 UTC,Central Time (US & Canada),56162,janetwright,Janet Wright,2020-02-29 23:18:46 UTC,2023-07-07 18:31:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/39375678,https://inaturalist-open-data.s3.amazonaws.com/photos/62459001/medium.jpeg,,"",Edge of river,1,0,false,,"Jackson, Mississippi, United States",30.5661861111,-88.6264333333,1374,,,,1374,,,false,,,,Jackson,Mississippi,United States,Mississippi,Jackson,river cane,Arundinaria gigantea,river cane,Plantae,121747
39376679,2020/02/29 2:32 PM UTC,2020-02-29,,UTC,1566366,tennesseehills,,2020-02-29 23:40:39 UTC,2020-03-02 00:07:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/39376679,https://inaturalist-open-data.s3.amazonaws.com/photos/62461374/medium.jpeg,,"",,0,0,false,,"Kedron Rd, Spring Hill, TN, US",35.7405157525,-86.9261290365,22,,,,22,,,false,,,,Maury,Tennessee,United States,Tennessee,Maury,river cane,Arundinaria gigantea,river cane,Plantae,121747
39376723,2020/02/29 2:32 PM UTC,2020-02-29,,UTC,1566366,tennesseehills,,2020-02-29 23:42:17 UTC,2020-03-02 00:07:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/39376723,https://inaturalist-open-data.s3.amazonaws.com/photos/62461433/medium.jpeg,,"",,0,0,false,,"Kedron Rd, Spring Hill, TN, US",35.7407135725,-86.9255785857,22,,,,22,,,false,,,,Maury,Tennessee,United States,Tennessee,Maury,river cane,Arundinaria gigantea,river cane,Plantae,121747
39458153,Fri Feb 28 2020 15:14:41 GMT-0600 (CST),2020-02-28,2020-02-28 21:14:41 UTC,Central Time (US & Canada),487466,wildflowersuz,SuzAnne Jensen Pendley,2020-03-02 18:29:14 UTC,2020-03-30 11:09:26 UTC,research,,https://www.inaturalist.org/observations/39458153,https://static.inaturalist.org/photos/62606380/medium.jpg,,"",A very large patch of cane in what looks to be a dried up creek bed. ,1,0,false,3,"Lake Lurleen State Park, Coker, AL, US",33.30308833,-87.67661333,21,,,,21,,,false,,,,Tuscaloosa,Alabama,United States,Alabama,Tuscaloosa,river cane,Arundinaria gigantea,river cane,Plantae,121747
39477866,Sat Feb 29 2020 10:29:09 GMT-0600 (CST),2020-02-29,2020-02-29 16:29:09 UTC,Central Time (US & Canada),75488,spqnancy,Nancy Lasiter,2020-03-03 03:08:56 UTC,2020-03-03 03:22:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/39477866,https://inaturalist-open-data.s3.amazonaws.com/photos/62639607/medium.jpg,,"",,0,0,false,3,"Caddo Lake State Park, Karnack, TX, US",32.6920966667,-94.1760033333,,,,,,,,false,,,,Harrison,Texas,United States,Texas,Harrison,river cane,Arundinaria gigantea,river cane,Plantae,121747
39487511,Sun Mar 01 2020 13:24:01 GMT-0600 (CST),2020-03-01,2020-03-01 19:24:01 UTC,Central Time (US & Canada),487466,wildflowersuz,SuzAnne Jensen Pendley,2020-03-03 11:55:51 UTC,2020-03-30 11:05:23 UTC,research,,https://www.inaturalist.org/observations/39487511,https://static.inaturalist.org/photos/62656200/medium.jpg,,"",,1,0,false,3,"Lake Lurleen, Coker, AL, US",33.293245,-87.67809167,206,,,,206,,,false,,,,Tuscaloosa,Alabama,United States,Alabama,Tuscaloosa,river cane,Arundinaria gigantea,river cane,Plantae,121747
39495207,2020/03/03 9:19 AM UTC,2020-03-03,,UTC,2305826,pjunkins,Pjunkins,2020-03-03 17:01:27 UTC,2022-01-27 16:42:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/39495207,https://inaturalist-open-data.s3.amazonaws.com/photos/62666374/medium.jpg,,"",,1,0,false,,"Shelton Hills, Collierville, TN 38017, USA",35.079619445,-89.6688777783,5,,,,5,,,false,,,,Shelby,Tennessee,United States,Tennessee,Shelby,river cane,Arundinaria gigantea,river cane,Plantae,121747
39503925,2020/03/02 2:33 PM CST,2020-03-02,2020-03-02 20:33:00 UTC,Central Time (US & Canada),147168,eric_keith,Eric Keith,2020-03-03 21:20:08 UTC,2020-03-03 21:47:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/39503925,https://inaturalist-open-data.s3.amazonaws.com/photos/62679332/medium.jpg,,"",,0,0,false,,"Montgomery, Texas, United States",30.3524149444,-95.7044285556,,,,,,,,false,,,,Montgomery,Texas,United States,Texas,Montgomery,river cane,Arundinaria gigantea,river cane,Plantae,121747
39550183,Wed Mar 04 2020 17:20:47 GMT-0500 (EST),2020-03-04,2020-03-04 22:20:47 UTC,Eastern Time (US & Canada),2404803,esummerbell,Emily Summerbell,2020-03-04 23:10:13 UTC,2021-05-13 18:29:39 UTC,research,CC-BY,https://www.inaturalist.org/observations/39550183,https://inaturalist-open-data.s3.amazonaws.com/photos/62757568/medium.jpg,,"",,0,0,false,3,"Shallowford Rd NE, Atlanta, GA, US",33.8570883265,-84.2796607968,10,,,,10,,,false,,,,DeKalb,Georgia,United States,Georgia,DeKalb,river cane,Arundinaria gigantea,river cane,Plantae,121747
